"","oilLONG","oilLAT","oilnear","oil_country","oilyeardisc","diaLONG","diaLAT","dianear","dia_country","diayeardisc","DIAINFO","RESINFO","gedlong","gedlat","ID","event_country","year","civdeath","region","oilLATsq","oilLONGsq","oilLATcu","oilLONGcu","diaLATsq","diaLONGsq","diaLATcu","diaLONGcu","GDP","Population","logGDP","gedLATsq","gedLONGsq","gedLATcu","gedLONGcu","uncivdeath"
"1",99.24,19.84,576,"Thailand",1945,-49.37,-4.62,324,"Brazil",NA,"S","secondary",97.71672,20.89184,50110,"Myanmar (Burma)",2003,0.693147180559945,"Asia",393.6256,9848.5776,7809.531904,977372.841024,21.3444,2437.3969,-98.611128,-120334.284953,22698616845,48148902,23.845569827639,436.4689785856,9548.5573675584,9118.64006557378,933053.706689641,2
"2",92.06,22.02,752,"Bangladesh",NA,-48.33,-18.38,320,"Brazil",1946,"S","alluvial",93.45,21.6,49230,"Myanmar (Burma)",2007,1.09861228866811,"Asia",484.8804,8475.0436,10677.066408,780212.513816,337.8244,2335.7889,-6209.212472,-112888.677537,37073010379,49621475,24.3361550587698,466.56,8732.9025,10077.696,816089.738625,3
"3",92.06,22.02,752,"Bangladesh",NA,-49.37,-4.62,324,"Brazil",NA,"S","secondary",92.320319,20.8614,51276,"Myanmar (Burma)",1992,3.68887945411394,"Asia",484.8804,8475.0436,10677.066408,780212.513816,21.3444,2437.3969,-98.611128,-120334.284953,8728758488,42401684,22.8898889845428,435.19800996,8523.04130026176,9078.83976497954,786849.89169034,40
"4",99.94,14.21,577,"Thailand",1981,-49.12,-5.35,323,"Brazil",1946,"S","alluvial",99.05,12.416667,50020,"Myanmar (Burma)",2002,1.38629436111989,"Asia",201.9241,9988.0036,2869.341461,998201.079784,28.6225,2412.7744,-153.130375,-118515.478528,19938352012,47702171,23.7159109507226,154.173619388889,9810.9025,1914.32249213658,971769.892625,4
"5",14.21,14.45,858,"Chad",1974,-60,4.28,354,"Brazil",NA,"S","secondary",13.708118,15.097741,24931,"Niger",1998,4.99043258677874,"Africa",208.8025,201.9241,3017.196125,2869.341461,18.3184,3600,78.402752,-216000,3731087483,10545716,22.0399655785117,227.941783303081,187.912499101924,3441.40600738804,2575.92671136407,147
"6",95.74,17.31,610,"Myanmar (Burma)",1991,-49.37,-4.62,324,"Brazil",NA,"S","secondary",97.7,17.7,51025,"Myanmar (Burma)",2007,0,"Asia",299.6361,9166.1476,5186.700891,877566.971224,21.3444,2437.3969,-98.611128,-120334.284953,37073010379,49621475,24.3361550587698,313.29,9545.29,5545.233,932574.833,1
"7",95.74,17.31,610,"Myanmar (Burma)",1991,-49.37,-4.62,324,"Brazil",NA,"S","secondary",97.484336,17.121358,50157,"Myanmar (Burma)",2000,1.38629436111989,"Asia",299.6361,9166.1476,5186.700891,877566.971224,21.3444,2437.3969,-98.611128,-120334.284953,15984737490,46719701,23.4949001970525,293.140899764164,9503.1957653609,5018.97028930437,926412.729064219,4
"8",20.22,9.69,857,"Chad",1974,-60.17,4.55,356,"Brazil",NA,"S","secondary",22.083333,14.516667,12133,"Chad",2006,0,"Africa",93.8961,408.8484,909.853209,8266.914648,20.7025,3620.4289,94.196375,-217841.206913,8462426393,10457124,22.8589017771263,210.733620788889,487.673596388889,3059.14979869658,10769.4584243634,0
"9",95.74,17.31,610,"Myanmar (Burma)",1991,-49.37,-4.62,324,"Brazil",NA,"S","secondary",97.7,17.7,51064,"Myanmar (Burma)",2007,0.693147180559945,"Asia",299.6361,9166.1476,5186.700891,877566.971224,21.3444,2437.3969,-98.611128,-120334.284953,37073010379,49621475,24.3361550587698,313.29,9545.29,5545.233,932574.833,2
"10",30.32,8.47,890,"Sudan",1998,-10.5,7.32,733,"Liberia",NA,"S","alluvial gravels",29.3644,-3.3822,10329,"Burundi",1995,2.99573227355399,"Africa",71.7409,919.3024,607.645423,27873.248768,53.5824,110.25,392.223168,-1157.625,NA,NA,NA,11.43927684,862.26798736,-38.689922128248,25319.982088034,20
