"","gedlong","gedlat","ID","event_country","year","civdeath","region","gid","diamsec_y","diamprim_y","petroleum_y","row","col","xcoord","ycoord","diamsec_s","diamprim_s","petroleum_s","diamdummy","oildummy","GDP","Population","logGDP","uncivdeath"
"1",97.71672,20.89184,50110,"Myanmar (Burma)",2003,0.693147180559945,"Asia",159676,0,0,0,222,556,97.75,20.75,0,0,0,0,0,22698616845,48148902,23.845569827639,2
"2",93.45,21.6,49230,"Myanmar (Burma)",2007,1.09861228866811,"Asia",161107,0,0,0,224,547,93.25,21.75,0,0,0,0,0,37073010379,49621475,24.3361550587698,3
"3",92.320319,20.8614,51276,"Myanmar (Burma)",1992,3.68887945411394,"Asia",159665,0,0,0,222,545,92.25,20.75,0,0,0,0,0,8728758488,42401684,22.8898889845428,40
"4",99.05,12.416667,50020,"Myanmar (Burma)",2002,1.38629436111989,"Asia",147439,1,0,0,205,559,99.25,12.25,0,0,0,1,0,19938352012,47702171,23.7159109507226,4
"5",13.708118,15.097741,24931,"Niger",1998,4.99043258677874,"Africa",151588,0,0,0,211,388,13.75,15.25,0,0,0,0,0,3731087483,10545716,22.0399655785117,147
"6",97.7,17.7,51025,"Myanmar (Burma)",2007,0,"Asia",155356,0,0,0,216,556,97.75,17.75,0,0,0,0,0,37073010379,49621475,24.3361550587698,1
"7",97.484336,17.121358,50157,"Myanmar (Burma)",2000,1.38629436111989,"Asia",154635,0,0,0,215,555,97.25,17.25,0,0,0,0,0,15984737490,46719701,23.4949001970525,4
"8",22.083333,14.516667,12133,"Chad",2006,0,"Africa",150885,0,0,0,210,405,22.25,14.75,0,0,0,0,0,8462426393,10457124,22.8589017771263,0
"9",97.7,17.7,51064,"Myanmar (Burma)",2007,0.693147180559945,"Asia",155356,0,0,0,216,556,97.75,17.75,0,0,0,0,0,37073010379,49621475,24.3361550587698,2
"10",29.3644,-3.3822,10329,"Burundi",1995,2.99573227355399,"Africa",124979,0,0,0,174,419,29.25,-3.25,0,0,0,0,0,NA,NA,NA,20
"11",30.248417,1.5625,23150,"DR Congo (Zaire)",1996,0.693147180559945,"Africa",132181,0,0,0,184,421,30.25,1.75,0,0,0,0,0,NA,NA,NA,2
"12",29.794167,-3.713889,10425,"Burundi",2000,5.16478597392351,"Africa",124260,0,0,0,173,420,29.75,-3.75,0,0,0,0,0,NA,NA,NA,175
"13",97.668024,21.272245,49096,"Myanmar (Burma)",2003,1.09861228866811,"Asia",160396,0,0,0,223,556,97.75,21.25,0,0,0,0,0,22698616845,48148902,23.845569827639,3
"14",97.668024,21.272245,49095,"Myanmar (Burma)",2003,1.79175946922805,"Asia",160396,0,0,0,223,556,97.75,21.25,0,0,0,0,0,22698616845,48148902,23.845569827639,6
"15",34.583333,8.25,35495,"Ethiopia",2003,6.04973345523196,"Africa",141550,0,0,0,197,430,34.75,8.25,0,0,0,0,0,14064103275,72170584,23.366891521079,424
"16",1.216019,6.129894,19279,"Togo",2005,0,"Africa",138603,0,0,0,193,363,1.25,6.25,0,0,0,0,0,NA,NA,NA,1
"17",98.3665,20.317697,49450,"Myanmar (Burma)",2005,1.09861228866811,"Asia",158957,0,0,0,221,557,98.25,20.25,0,0,0,0,0,29275358078,48949924,24.100011977884,3
"18",28.860833,-2.508333,23110,"DR Congo (Zaire)",2007,0.693147180559945,"Africa",125698,0,0,0,175,418,28.75,-2.75,0,0,0,0,0,NA,NA,NA,2
"19",96.875358,19.0589,50169,"Myanmar (Burma)",2007,0.693147180559945,"Asia",157514,0,0,0,219,554,96.75,19.25,0,0,0,0,0,37073010379,49621475,24.3361550587698,2
"20",97.7,17.7,51357,"Myanmar (Burma)",2007,0.693147180559945,"Asia",155356,0,0,0,216,556,97.75,17.75,0,0,0,0,0,37073010379,49621475,24.3361550587698,2
"21",36.816667,-1.283333,43785,"Kenya",2007,1.09861228866811,"Africa",127874,0,0,0,178,434,36.75,-1.25,0,0,0,0,0,NA,NA,NA,3
"22",93.539136,19.43055,49047,"Myanmar (Burma)",2012,1.09861228866811,"Asia",157508,0,0,0,219,548,93.75,19.25,0,0,1,0,1,56146663570,51413698,24.7512330964189,3
"23",104.916006,11.56245,111328,"Cambodia (Kampuchea)",1991,2.30258509299405,"Asia",146730,0,0,0,204,570,104.75,11.75,0,0,0,0,0,NA,NA,NA,10
"24",97.75,16.25,49364,"Myanmar (Burma)",1996,2.19722457733622,"Asia",153196,0,0,0,213,556,97.75,16.25,0,0,0,0,0,11324734005,44452206,23.1502550206225,9
"25",97.71672,20.89184,50101,"Myanmar (Burma)",1997,1.38629436111989,"Asia",159676,0,0,0,222,556,97.75,20.75,0,0,0,0,0,11964760743,45027233,23.2052315617006,4
"26",98,22,50324,"Myanmar (Burma)",1997,1.6094379124341,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,11964760743,45027233,23.2052315617006,5
"27",29.466667,0.5,23012,"DR Congo (Zaire)",1998,0.693147180559945,"Africa",130739,0,0,0,182,419,29.25,0.75,0,0,0,0,0,NA,NA,NA,2
"28",98,22,50363,"Myanmar (Burma)",1999,2.39789527279837,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,11
"29",98.429888,21.304659,48969,"Myanmar (Burma)",1999,0.693147180559945,"Asia",160397,0,0,0,223,557,98.25,21.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,2
"30",102.6,12.86667,111337,"Cambodia (Kampuchea)",1991,0,"Asia",148166,0,0,0,206,566,102.75,12.75,0,0,0,0,0,NA,NA,NA,0
"31",27.0666,11.95,6782,"Sudan",2004,3.25809653802148,"Africa",146575,0,0,0,204,415,27.25,11.75,0,0,0,0,0,43197815736,30214193,24.4890557692515,26
"32",-66.879193,10.488011,198617,"Venezuela",1989,0,"Americas",144227,0,0,1,201,227,-66.75,10.25,0,0,0,0,1,2.21e+11,19166471,26.1214285384642,1
"33",98,22,50361,"Myanmar (Burma)",2005,0.693147180559945,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,29275358078,48949924,24.100011977884,2
"34",24.666667,11.5,29184,"Sudan",2012,0,"Africa",146570,0,0,0,204,410,24.75,11.75,0,0,0,0,0,64678192683,36193783,24.8926899288252,0
"35",97.5,19.25,50938,"Myanmar (Burma)",1999,0.693147180559945,"Asia",157516,0,0,0,219,556,97.75,19.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,2
"36",98,22,49821,"Myanmar (Burma)",1999,1.09861228866811,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,14053019226,46181077,23.3661031011705,3
"37",98,22,49971,"Myanmar (Burma)",1996,1.6094379124341,"Asia",161837,0,0,0,225,557,98.25,22.25,0,0,0,0,0,11324734005,44452206,23.1502550206225,5
