"","diaLONG","diaLAT","dianear","dia_country","diayeardisc","DIAINFO","RESINFO"
"1",0.5,26.63,1,"Algeria",1957,"S","alluvial"
"2",0.65,26.6,2,"Algeria",1957,"S","alluvial"
"3",18,-8.77,3,"Angola",NA,"S","alluvial"
"4",20.82,-7.35,4,"Angola",NA,"S","alluvial"
"5",21.37,-7.7,6,"Angola",NA,"S","alluvial"
"6",20.75,-8.42,7,"Angola",NA,"S","alluvial"
"7",20.55,-8.44,8,"Angola",NA,"S","kimberlite; secondary"
"8",20.82,-11.3,9,"Angola",NA,"S","alluvial"
"9",20.38,-9.12,10,"Angola",NA,"S","alluvial"
"10",20.43,-9,11,"Angola",NA,"S","alluvial"
"11",18,-9,12,"Angola",1946,"S","alluvial"
"12",18.05,-9.12,13,"Angola",NA,"S","alluvial"
"13",20.5,-8.08,14,"Angola",1946,"S","alluvial"
"14",20.75,-8.42,15,"Angola",NA,"S","alluvial"
"15",17.83,-8.52,16,"Angola",NA,"S","alluvial"
"16",21.45,-14.1,17,"Angola",NA,"S","alluvial"
"17",21.22,-9.9,19,"Angola",NA,"S","alluvial"
"18",17.77,-13.5,22,"Angola",NA,"S","alluvial"
"19",20.82,-7.35,23,"Angola",NA,"S","alluvial"
"20",15.73,-6.38,24,"Angola",NA,"S","alluvial"
"21",20.57,-8.57,29,"Angola",NA,"S","alluvial"
"22",21.31,-7.78,30,"Angola",NA,"S","alluvial"
"23",21,-7.59,31,"Angola",NA,"S","alluvial"
"24",21.46,-7.77,32,"Angola",NA,"S","alluvial"
"25",20.78,-8.31,33,"Angola",NA,"S","alluvial"
"26",20.71,-8.23,34,"Angola",NA,"S","alluvial"
"27",15.74,-12.78,35,"Angola",NA,"S","alluvial"
"28",16.7,-11.48,36,"Angola",NA,"S","alluvial"
"29",20.4,-9.65,37,"Angola",NA,"S","alluvial"
"30",20.25,-15.8,38,"Angola",NA,"S","alluvial"
"31",16.97,-11.47,39,"Angola",NA,"S","alluvial"
"32",19.33,-17.33,40,"Angola",NA,"S","alluvial"
"33",20.17,-7.33,41,"Angola",NA,"S","alluvial"
"34",21,-8,42,"Angola",1946,"S","alluvial"
"35",17.08,-9.27,43,"Angola",NA,"S","alluvial"
"36",17.22,-8.37,44,"Angola",NA,"S","alluvial"
"37",20.58,-9.67,45,"Angola",NA,"S","alluvial"
"38",21.07,-7.93,46,"Angola",NA,"S","alluvial"
"39",20.8,-12.43,47,"Angola",NA,"S","alluvial"
"40",18.63,-9.83,48,"Angola",NA,"S","alluvial"
"41",18.7,-9.32,49,"Angola",NA,"S","alluvial"
"42",0,0,50,"Angola",NA,"S","alluvial"
"43",15.74,-12.78,51,"Angola",NA,"S","alluvial"
"44",16.32,-9.51,52,"Angola",NA,"S","alluvial"
"45",16.22,-8.62,53,"Angola",NA,"S","alluvial"
"46",0,0,54,"Angola",NA,"S","alluvial"
"47",128.58,-16.64,55,"Australia",1982,"S","alluvial"
"48",150.42,-29.75,56,"Australia",1946,"S","alluvial; kimberlite pipe target"
"49",151.03,-29.92,57,"Australia",1946,"S","alluvial"
"50",149.11,-32.63,58,"Australia",1946,"S","alluvial"
"51",150.05,-33.11,59,"Australia",1946,"S","alluvial"
"52",146.72,-36.37,60,"Australia",1946,"S","alluvial"
"53",138.8,-35.1,61,"Australia",1946,"S","secondary"
"54",128.4,-16.73,63,"Australia",1979,"S","alluvial"
"55",128.4,-16.68,64,"Australia",1979,"S","alluvial"
"56",128.39,-16.7,65,"Australia",1979,"S","alluvial"
"57",124.71,-17.55,66,"Australia",1976,"S","primary; secondary"
"58",136.35,-16.83,72,"Australia",1990,"S","primary; secondary"
"59",126.13,-16.9,88,"Australia",1988,"S","kimberlite; some alluvial"
"60",127.27,-14.31,91,"Australia",NA,"S","kimberlite; secondary"
"61",127.38,-14.44,93,"Australia",1992,"S","primary pipe with alluvials"
"62",124.71,-17.55,94,"Australia",NA,"S","alluvial"
"63",151.32,-30.08,108,"Australia",NA,"S","secondary"
"64",147.71,-23.42,109,"Australia",NA,"U","probable secondary"
