"","gedlong","gedlat","ID","event_country","year","civdeath","region"
"1",97.71672,20.89184,50110,"Myanmar (Burma)",2003,2,"Asia"
"2",93.45,21.6,49230,"Myanmar (Burma)",2007,3,"Asia"
"3",92.320319,20.8614,51276,"Myanmar (Burma)",1992,40,"Asia"
"4",99.05,12.416667,50020,"Myanmar (Burma)",2002,4,"Asia"
"5",13.708118,15.097741,24931,"Niger",1998,147,"Africa"
"6",97.7,17.7,51025,"Myanmar (Burma)",2007,1,"Asia"
"7",97.484336,17.121358,50157,"Myanmar (Burma)",2000,4,"Asia"
"8",22.083333,14.516667,12133,"Chad",2006,0,"Africa"
"9",97.7,17.7,51064,"Myanmar (Burma)",2007,2,"Asia"
"10",29.3644,-3.3822,10329,"Burundi",1995,20,"Africa"
"11",22.983632,-6.020253,263533,"DR Congo (Zaire)",2016,0,"Africa"
"12",30.248417,1.5625,23150,"DR Congo (Zaire)",1996,2,"Africa"
"13",29.794167,-3.713889,10425,"Burundi",2000,175,"Africa"
"14",97.668024,21.272245,49096,"Myanmar (Burma)",2003,3,"Asia"
"15",97.668024,21.272245,49095,"Myanmar (Burma)",2003,6,"Asia"
"16",34.583333,8.25,35495,"Ethiopia",2003,424,"Africa"
"17",1.216019,6.129894,19279,"Togo",2005,1,"Africa"
"18",98.3665,20.317697,49450,"Myanmar (Burma)",2005,3,"Asia"
"19",28.860833,-2.508333,23110,"DR Congo (Zaire)",2007,2,"Africa"
"20",96.875358,19.0589,50169,"Myanmar (Burma)",2007,2,"Asia"
"21",97.7,17.7,51357,"Myanmar (Burma)",2007,2,"Asia"
"22",36.816667,-1.283333,43785,"Kenya",2007,3,"Africa"
"23",93.539136,19.43055,49047,"Myanmar (Burma)",2012,3,"Asia"
"24",104.916006,11.56245,111328,"Cambodia (Kampuchea)",1991,10,"Asia"
"25",97.75,16.25,49364,"Myanmar (Burma)",1996,9,"Asia"
"26",97.71672,20.89184,50101,"Myanmar (Burma)",1997,4,"Asia"
"27",98,22,50324,"Myanmar (Burma)",1997,5,"Asia"
"28",29.466667,0.5,23012,"DR Congo (Zaire)",1998,2,"Africa"
